corpus_id,year,venue_abbr,label_MiniMax-M3,label_GLM-5.3,label_DeepSeek-V4.1-Flash,label_Claude-Sonnet-5,era,N1,n1,pi1,candidate,sampling_label
93802,1996,PPSN,improve,hybrid,propose_new,improve,1990-1999,947,333,0.35163674762407604,True,improve
118298,2002,CEC,improve,improve,propose_new,propose_new,2000-2004,4013,333,0.08298031397956641,True,improve
93695,1998,PPSN,propose_new,propose_new,propose_new,propose_new,1990-1999,947,333,0.35163674762407604,True,propose_new
119047,2004,CEC,apply,apply,apply,apply,2000-2004,4013,333,0.08298031397956641,True,apply
33150,2012,ESWA,improve,improve,improve,improve,2010-2014,20442,333,0.016289991194599354,True,improve
120569,2011,SSCI,improve,improve,propose_new,improve,2010-2014,20442,333,0.016289991194599354,True,improve
106099,2000,TEVC,apply,apply,apply,apply,2000-2004,4013,333,0.08298031397956641,True,apply
39820,2022,ESWA,benchmark,benchmark,benchmark,benchmark,2020-2025,40240,333,0.008275347912524851,True,benchmark
89920,1998,INS,theory,other,other,theory,1990-1999,947,333,0.35163674762407604,True,theory
4625,2019,ASOC,propose_new,propose_new,propose_new,propose_new,2015-2019,20521,333,0.016227279372350276,True,propose_new
89673,1999,INS,apply,apply,other,theory,1990-1999,947,333,0.35163674762407604,True,apply
65505,2020,GECCO,propose_new,propose_new,propose_new,propose_new,2020-2025,40240,333,0.008275347912524851,True,propose_new
18399,2014,CEC,improve,propose_new,propose_new,propose_new,2010-2014,20442,333,0.016289991194599354,True,propose_new
105994,2003,TEVC,apply,apply,apply,apply,2000-2004,4013,333,0.08298031397956641,True,apply
74219,2011,INS,review,review,review,review,2010-2014,20442,333,0.016289991194599354,True,review
93970,1994,PPSN,improve,propose_new,hybrid,propose_new,1990-1999,947,333,0.35163674762407604,True,propose_new
25261,2009,ESWA,other,propose_new,propose_new,other,2005-2009,13159,333,0.02530587430655825,True,other
93842,1996,PPSN,improve,benchmark,benchmark,improve,1990-1999,947,333,0.35163674762407604,True,improve
5572,2018,ASOC,propose_new,hybrid,propose_new,apply,2015-2019,20521,333,0.016227279372350276,True,propose_new
80184,2019,INS,propose_new,propose_new,propose_new,improve,2015-2019,20521,333,0.016227279372350276,True,propose_new
97889,2022,SSCI,propose_new,apply,improve,improve,2020-2025,40240,333,0.008275347912524851,True,improve
122555,2005,INS,other,propose_new,propose_new,other,2005-2009,13159,333,0.02530587430655825,True,other
89519,2001,INS,other,other,other,theory,2000-2004,4013,333,0.08298031397956641,True,other
82763,2021,INS,propose_new,propose_new,other,propose_new,2020-2025,40240,333,0.008275347912524851,True,propose_new
1313,2003,ASOC,improve,improve,improve,propose_new,2000-2004,4013,333,0.08298031397956641,True,improve
93879,1996,PPSN,benchmark,benchmark,benchmark,benchmark,1990-1999,947,333,0.35163674762407604,True,benchmark
93587,2000,PPSN,review,review,review,review,2000-2004,4013,333,0.08298031397956641,True,review
122836,2005,INS,other,other,other,other,2005-2009,13159,333,0.02530587430655825,True,other
90013,1997,INS,review,review,review,other,1990-1999,947,333,0.35163674762407604,True,review
90930,1997,JOH,theory,propose_new,propose_new,propose_new,1990-1999,947,333,0.35163674762407604,True,propose_new
118237,2002,CEC,apply,apply,apply,apply,2000-2004,4013,333,0.08298031397956641,True,apply
88770,2025,INS,propose_new,improve,propose_new,improve,2020-2025,40240,333,0.008275347912524851,True,propose_new
62339,2003,GECCO,theory,theory,theory,theory,2000-2004,4013,333,0.08298031397956641,True,theory
60653,2007,GECCO,propose_new,propose_new,propose_new,propose_new,2005-2009,13159,333,0.02530587430655825,True,propose_new
95118,2015,SSCI,improve,improve,propose_new,apply,2015-2019,20521,333,0.016227279372350276,True,improve
15714,2013,CEC,hybrid,hybrid,hybrid,hybrid,2010-2014,20442,333,0.016289991194599354,True,hybrid
26417,2008,ESWA,propose_new,propose_new,propose_new,propose_new,2005-2009,13159,333,0.02530587430655825,True,propose_new
29527,2011,ESWA,other,apply,other,apply,2010-2014,20442,333,0.016289991194599354,True,other
14438,2007,CEC,improve,propose_new,propose_new,propose_new,2005-2009,13159,333,0.02530587430655825,True,propose_new
38174,2019,ESWA,propose_new,propose_new,propose_new,propose_new,2015-2019,20521,333,0.016227279372350276,True,propose_new
93806,1996,PPSN,benchmark,benchmark,benchmark,benchmark,1990-1999,947,333,0.35163674762407604,True,benchmark
67161,2016,GECCO,improve,improve,improve,improve,2015-2019,20521,333,0.016227279372350276,True,improve
61919,2003,GECCO,theory,theory,theory,theory,2000-2004,4013,333,0.08298031397956641,True,theory
74648,2009,INS,other,propose_new,propose_new,other,2005-2009,13159,333,0.02530587430655825,True,other
77784,2015,INS,apply,propose_new,propose_new,other,2015-2019,20521,333,0.016227279372350276,True,propose_new
93936,1996,PPSN,apply,apply,apply,other,1990-1999,947,333,0.35163674762407604,True,apply
80461,2018,INS,other,propose_new,theory,propose_new,2015-2019,20521,333,0.016227279372350276,True,propose_new
64643,2009,GECCO,improve,propose_new,propose_new,propose_new,2005-2009,13159,333,0.02530587430655825,True,propose_new
93790,1996,PPSN,theory,theory,theory,theory,1990-1999,947,333,0.35163674762407604,True,theory
62286,2003,GECCO,theory,theory,theory,theory,2000-2004,4013,333,0.08298031397956641,True,theory
94981,2015,SSCI,benchmark,benchmark,benchmark,benchmark,2015-2019,20521,333,0.016227279372350276,True,benchmark
20582,2015,CEC,apply,apply,propose_new,apply,2015-2019,20521,333,0.016227279372350276,True,apply
75703,2008,INS,propose_new,propose_new,other,other,2005-2009,13159,333,0.02530587430655825,True,propose_new
94124,1992,PPSN,improve,improve,improve,other,1990-1999,947,333,0.35163674762407604,True,improve
89497,2001,INS,other,other,other,other,2000-2004,4013,333,0.08298031397956641,True,other
17510,2009,CEC,theory,theory,theory,theory,2005-2009,13159,333,0.02530587430655825,True,theory
1044,2007,ASOC,hybrid,propose_new,hybrid,propose_new,2005-2009,13159,333,0.02530587430655825,True,hybrid
90933,1997,JOH,apply,apply,apply,apply,1990-1999,947,333,0.35163674762407604,True,apply
30034,2010,ESWA,propose_new,propose_new,propose_new,propose_new,2010-2014,20442,333,0.016289991194599354,True,propose_new
118939,2004,CEC,apply,apply,benchmark,apply,2000-2004,4013,333,0.08298031397956641,True,apply
12451,2024,ASOC,propose_new,hybrid,propose_new,propose_new,2020-2025,40240,333,0.008275347912524851,True,propose_new
71286,2019,ICSI,benchmark,benchmark,benchmark,benchmark,2015-2019,20521,333,0.016227279372350276,True,benchmark
118617,2003,CEC,apply,apply,apply,apply,2000-2004,4013,333,0.08298031397956641,True,apply
