corpus_id,year,venue_abbr,source,abstract_status
24215,2010,OTHER,"IEEJ Transactions on Electronics, Information and Systems",nonempty
30319,2011,OTHER,Journal of Materials Science: Materials in Medicine,nonempty
35886,2016,OTHER,Journal of Materials Science: Materials in Electronics,nonempty
38879,2021,OTHER,Journal of Materials Science: Materials in Electronics,nonempty
38884,2020,OTHER,Journal of Materials Science: Materials in Electronics,nonempty
40814,2022,OTHER,International Journal of Technology and Design Education,nonempty
43093,2023,OTHER,Measurement Science and Technology,nonempty
54217,2026,OTHER,Nanotechnology,nonempty
60333,2019,OTHER,Algorithmica,nonempty
60334,2014,OTHER,Theoretical Computer Science,nonempty
60363,2007,OTHER,Applied Mathematics and Computation,nonempty
60405,1999,OTHER,Izvestiya Akademii Nauk. Teoriya i Sistemy Upravleniya,nonempty
60406,2000,OTHER,Ruan Jian Xue Bao/Journal of Software,nonempty
60496,1990,OTHER,Parallel Computing,nonempty
60538,2004,OTHER,Computers and Operations Research,nonempty
62420,2010,OTHER,Computers and Operations Research,nonempty
62422,2012,OTHER,AI Magazine,nonempty
65115,2018,OTHER,Renewable Energy,nonempty
67744,2024,OTHER,Communications in Computer and Information Science,nonempty
67748,2024,OTHER,IFIP Advances in Information and Communication Technology,nonempty
72707,2022,OTHER,Biofabrication,nonempty
72731,2023,OTHER,Aircraft Engineering and Aerospace Technology,nonempty
72839,2021,OTHER,Physical Review Letters,nonempty
72998,2011,OTHER,Journal of Nanoparticle Research,nonempty
75652,2011,OTHER,Annals of the Institute of Statistical Mathematics,nonempty
75986,2007,OTHER,International Journal of Remote Sensing,nonempty
81487,2018,OTHER,International Journal of Electronics,nonempty
83953,2022,OTHER,"Wei(wfan7@uncc.edu)""",nonempty
84119,2022,OTHER,International Journal of Electrical Engineering and Education,nonempty
84121,2021,OTHER,Inorganic Chemistry,nonempty
84122,2021,OTHER,Inorganic Chemistry,nonempty
84123,2021,OTHER,Inorganica Chimica Acta,nonempty
86661,2024,OTHER,Inorganic Chemistry,empty
86780,2024,OTHER,Inorganic Chemistry,nonempty
86781,2023,OTHER,Inorganic Chemistry,nonempty
88858,2025,OTHER,International Journal of Environmental Studies,nonempty
90564,2016,OTHER,Reactive and Functional Polymers,nonempty
92354,2018,OTHER,Algorithmica,nonempty
92359,2007,OTHER,Journal of Catalysis,nonempty
94414,2007,OTHER,Reliable Computing,nonempty
